,Description,Date Purchased,Cost
Asset Purchased #1,,,
Asset Purchased #2,,,
Asset Purchased #3,,,
Asset Purchased #4,,,
Asset Purchased #5,,,
Asset Purchased #6,,,
Asset Purchased #7,,,
Asset Purchased #8,,,
Asset Purchased #9,,,
Asset Purchased #10,,,
