,Description,Date Sold/Disposed,Selling Price (Fair Market Value)
Asset Sold/Disposed #1,,,
Asset Sold/Disposed #2,,,
Asset Sold/Disposed #3,,,
Asset Sold/Disposed #4,,,
Asset Sold/Disposed #5,,,
Asset Sold/Disposed #6,,,
Asset Sold/Disposed #7,,,
Asset Sold/Disposed #8,,,
Asset Sold/Disposed #9,,,
Asset Sold/Disposed #10,,,
